Price,Close,High,Low,Open,Volume,30D_MA,Volatility
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2015-04-06,28.440778732299805,28.476511977725288,27.766329911515612,27.79759564933545,148776000,,
2015-04-07,28.141517639160156,28.61273741287234,28.134818082280347,28.505541095085928,140049200,,
2015-04-08,28.049949645996094,28.228612429364464,27.909253854195338,28.105781552816886,149316800,,
2015-04-09,28.264347076416016,28.26881458361224,27.84002590093208,28.105784648045375,129936000,,
2015-04-10,28.384946823120117,28.409513003394114,27.974024723727684,28.128119659072386,160752000,,
2015-04-13,28.329116821289062,28.713242420297313,28.27551865336339,28.66857415662502,145460400,,
2015-04-14,28.20629119873047,28.427385160384304,28.11919352584092,28.362619918312927,102098400,,
2015-04-15,28.313480377197266,28.39164471719168,28.141518829209552,28.23085023371238,115881600,,
2015-04-16,28.1772518157959,28.384946617793247,28.163852700781522,28.201817995892192,113476000,,
2015-04-17,27.86012840270996,28.17055374519729,27.795363170297176,28.038791230321443,207828000,,
2015-04-20,28.496612548828125,28.612742196487645,27.953926200723096,28.043257616383126,188217200,,
2015-04-21,28.342512130737305,28.630603292235747,28.28891226937762,28.608272572451273,129740400,,
2015-04-22,28.724411010742188,28.78024294220932,28.210758263557782,28.360387430964412,150618000,,
2015-04-23,28.95890235900879,29.12639813348207,28.617211251700112,28.652944501438206,183083600,,
2015-04-24,29.095129013061523,29.173295061822373,28.86063427448883,29.142029323860005,178103600,,
2015-04-27,29.624418258666992,29.731618009002727,29.28942670621598,29.5484876579619,387816800,,
2015-04-28,29.157655715942383,30.046498756265088,28.93656353644003,30.028635544104926,475696000,,
2015-04-29,28.728870391845703,29.38768631523267,28.652939804382193,29.068329393289822,253544400,,
2015-04-30,27.949459075927734,28.728872190424035,27.82216236838046,28.728872190424035,332781600,,
2015-05-01,28.798099517822266,29.061627914377524,27.982954965995784,28.16161606201944,234050400,,
2015-05-04,28.742267608642578,29.159892627537275,28.644002898314415,28.92093040853838,203953200,,
2015-05-05,28.094621658325195,28.686438622653633,28.090154150752014,28.619439639895173,197085600,,
2015-05-06,27.918195724487305,28.306785438036545,27.54970468570634,28.264352630607828,288564000,,
2015-05-07,28.09087371826172,28.27476727952215,27.812789436572668,27.98098482959033,175763600,,
2015-05-08,28.620132446289062,28.620132446289062,28.281498531518576,28.40932697854194,222201600,,
2015-05-11,28.328590393066406,28.606672974255993,28.173850078151617,28.568549094369533,168143200,,
2015-05-12,28.227672576904297,28.454174472680343,27.992198343941556,28.167121277698104,192640000,,
2015-05-13,28.259065628051758,28.523693082220305,28.22766929543615,28.290461960667365,138776800,,
2015-05-14,28.918392181396484,28.918392181396484,28.516967372745793,28.573032500442157,180814000,,
2015-05-15,28.878028869628906,29.03949672198402,28.752443522673612,28.945307711767548,152832000,28.470723978678386,
2015-05-18,29.196483612060547,29.315341438191382,28.786086365970352,28.790572535431327,203531600,28.495914141337078,0.013597264627323196
2015-05-19,29.16956901550293,29.351219498760727,29.073135207412207,29.308609450205115,178532800,28.530182520548504,0.013429559220799097
2015-05-20,29.16732406616211,29.373643343707954,29.005856210353336,29.153868981835398,145819600,28.567428334554037,0.013405048589168994
2015-05-21,29.465593338012695,29.519417101566336,29.115747429775045,29.169571193328686,158921600,28.607469876607258,0.013454798528061383
2015-05-22,29.723487854003906,29.819921657140842,29.46783099774743,29.512685839361247,182384000,28.652087910970053,0.013511688107737304
2015-05-26,29.06863784790039,29.806456629812615,28.956507625161144,29.736936439225136,282790400,28.676738611857097,0.014175887587794728
2015-05-27,29.611351013183594,29.660688590439086,29.165074867022398,29.230108897799248,183332800,28.723573939005533,0.014498328324902712
2015-05-28,29.55305290222168,29.591176782375417,29.400557381606728,29.570994155578294,122933200,28.764893023173013,0.014508085892423011
2015-05-29,29.21666145324707,29.47904586162355,29.131441357179046,29.42970827147302,203538000,28.79954001108805,0.014655994812130212
2015-06-01,29.27496910095215,29.465591926874144,29.16508362746622,29.216662593019702,128451200,28.846701367696127,0.014462610317107025
2015-06-02,29.144895553588867,29.301877216334294,29.00136897308682,29.122468135220835,134670400,28.86831080118815,0.01393896198925629
2015-06-03,29.18077850341797,29.364673776989548,29.131440914017986,29.301881103561218,123934000,28.89625301361084,0.013888898019795187
2015-06-04,29.010337829589844,29.283935907806594,28.90942129102154,29.059675412346543,153800400,28.905783907572427,0.013740719537117911
2015-06-05,28.851118087768555,29.08435097362452,28.786084034602492,29.04174092205789,142507200,28.902191098531087,0.013701481260489123
2015-06-08,28.660493850708008,28.976701990945653,28.44296088234116,28.907178358441183,210699200,28.88770325978597,0.013722227832714045
2015-06-09,28.575281143188477,28.723293939227787,28.171613147664846,28.413813260590086,224301600,28.85273202260335,0.01326945229960629
2015-06-10,28.9027042388916,29.0058621879515,28.671714407523737,28.687412579464038,156349200,28.844233640034993,0.013163924534188834
2015-06-11,28.837665557861328,29.19423903897281,28.81299675855486,28.969978471439347,141563600,28.84786014556885,0.01288439216746842
2015-06-12,28.51921272277832,28.77935577283128,28.505757637765978,28.74795943382105,147544800,28.8668519337972,0.0120127465975397
2015-06-15,28.463151931762695,28.534915247735768,28.19179683977164,28.27925832764593,175955600,28.855687014261882,0.010634954282641211
2015-06-16,28.615642547607422,28.671707678661107,28.33980306096761,28.487814117243897,125976400,28.851466178894043,0.010680351244848783
2015-06-17,28.548368453979492,28.678438271522495,28.422781383597965,28.642557473536485,131672400,28.86659107208252,0.009818987545966294
2015-06-18,28.67843246459961,28.77486454918359,28.530421422547366,28.532664506646114,141628800,28.89193229675293,0.009757026360162029
2015-06-19,28.391380310058594,28.66497840684529,28.3465288923111,28.640309613792592,218867600,28.901949183146158,0.009903816172774324
2015-06-22,28.617889404296875,28.7188059691074,28.499031584550888,28.590977521893688,136157200,28.901874415079753,0.009391763303604835
2015-06-23,28.48781967163086,28.617891211669278,28.454180244245425,28.588737953787156,121075600,28.907182057698567,0.009235109749791087
2015-06-24,28.73002052307129,29.109021417570688,28.508003047398923,28.52818567656355,221123600,28.92392698923747,0.00932658311031673
2015-06-25,28.593219757080078,28.974462002785604,28.593219757080078,28.898214238033376,127752400,28.935065460205077,0.009377628936936597
2015-06-26,28.425018310546875,28.703100850844216,28.371196269741027,28.63133755944581,176267200,28.918619664510093,0.008381902159097015
2015-06-29,27.927160263061523,28.362226187922754,27.9159482644552,28.135722600023964,196645600,28.886924044291177,0.008936943459023588
2015-06-30,28.12900733947754,28.283747702160714,28.001178864948315,28.160403686837515,177482800,28.851341501871744,0.008785109403337717
2015-07-01,28.391380310058594,28.46762977339563,28.254581261665244,28.458659147651748,120955200,28.825401878356935,0.008993264746854251
2015-07-02,28.355501174926758,28.411566305873087,28.205245323651862,28.35325809061674,108844000,28.798341115315754,0.008992303581903472
2015-07-06,28.2568302154541,28.30841089645297,27.998930232404312,28.01911457226379,112241600,28.75804901123047,0.008752437793012088
2015-07-07,28.187313079833984,28.290472742166813,27.756731462349084,28.23216451181436,187787200,28.706843185424805,0.008542690436582697
2015-07-08,27.487611770629883,27.951830976947246,27.480884228809224,27.915950183579728,243046400,28.654142316182455,0.008783273413303603
2015-07-09,26.92696189880371,27.821760938756253,26.73634078957682,27.77466643254528,314380000,28.56466267903646,0.008532307207927746
2015-07-10,27.646841049194336,27.7746694975796,27.182621767061306,27.34633272564635,245418000,28.501122283935548,0.010126998906276906
2015-07-13,28.18058204650879,28.20300775972198,27.88007201434083,28.039296802418413,165762000,28.466586303710937,0.010698203551307411
2015-07-14,28.16936683654785,28.339805327655316,28.04153839596029,28.265798938111953,127072400,28.429732894897462,0.010682867737258583
2015-07-15,28.440725326538086,28.51473172503096,28.162642699714027,28.194039042534207,134596800,28.406260553995768,0.010844652809081456
2015-07-16,28.819717407226562,28.83317591249241,28.559576100827492,28.647037564364176,144889600,28.39422518412272,0.011141887513979341
2015-07-17,29.06863784790039,29.06863784790039,28.77485721183442,28.947538712996852,184658800,28.396168518066407,0.011209423041188243
2015-07-20,29.618093490600586,29.819926623702536,29.310854199705766,29.37140550841417,235600800,28.421734364827476,0.011663368455948649
2015-07-21,29.322057723999023,29.80870255436833,29.225627360250233,29.79300610019815,307025600,28.443786493937175,0.011755012519583382
2015-07-22,28.081905364990234,28.14469804304387,27.35754306093514,27.35754306093514,461802400,28.4273406346639,0.014143042232251483
2015-07-23,28.068445205688477,28.501266331307747,28.046017786747672,28.30167462173187,203998000,28.399532000223797,0.013962265053387744
2015-07-24,27.920434951782227,28.198517519619383,27.78587898095599,28.104328511138217,168649200,28.368957646687825,0.013983380604162505
2015-07-27,27.53246307373047,27.72084279877277,27.38669510564022,27.60422637113421,177822000,28.336065991719565,0.014063627364133678
2015-07-28,27.66926383972168,27.78812335897345,27.483128898382656,27.66926383972168,134472400,28.309603055318195,0.01410543682258828
2015-07-29,27.581796646118164,27.69616997285141,27.42032882272339,27.61767914508221,148046800,28.275141525268555,0.014061934488686196
2015-07-30,27.44275665283203,27.487608066239986,27.294743908836637,27.43154294399417,134513200,28.23828779856364,0.014078558541480279
2015-07-31,27.202800750732422,27.503309015112233,27.11533928805639,27.494338389328547,171540000,28.189100074768067,0.014099817377287613
2015-08-03,26.561420440673828,27.487615908468857,26.355099431607222,27.247657185235305,279904000,28.12810141245524,0.014586023597020888
2015-08-04,25.709228515625,26.395465229773528,25.397506497696607,26.332672551481785,496554400,28.03114604949951,0.01543907501602658
2015-08-05,25.87966537475586,26.337157058984335,25.139604945068488,25.330226052420674,397250400,27.94420757293701,0.015546175847096227
